HGNC ID	UniProt ID(supplied by UniProt)
HGNC:5	P04217
HGNC:37133	
HGNC:24086	Q9NQ94
HGNC:7	P01023
HGNC:27057	
HGNC:23336	A8K2U0
HGNC:41022	
HGNC:41523	
HGNC:8	
HGNC:30005	U3KPV4
HGNC:18149	Q9NPC4
HGNC:17968	Q9UNA3
HGNC:13666	Q9NRG9
HGNC:21298	Q86V21
HGNC:18226	
HGNC:17	P22760
HGNC:24427	Q6P093
HGNC:50301	
HGNC:32037	Q5VUY0
HGNC:32038	Q5VUY2
HGNC:50305	
HGNC:17929	Q8N5Z0
HGNC:25662	Q6PD74
HGNC:19679	Q2M2I8
HGNC:30205	Q9H7C9
HGNC:18	Q13685
HGNC:19	Q16613
HGNC:15886	Q9Y312
HGNC:33842	Q4LEZ3
HGNC:20	P49588
HGNC:49894	
HGNC:21022	Q5JTZ9
HGNC:28417	Q9BTE6
HGNC:54994	
HGNC:23993	Q4L235
HGNC:14235	Q9NRN7
HGNC:58262	
HGNC:17366	Q9UDR5
HGNC:51526	
HGNC:19235	Q9NY61
HGNC:21	Q6ZMQ8
HGNC:22	
HGNC:23	P80404
HGNC:29	O95477
HGNC:32	Q9BZC7
HGNC:33	Q99758
HGNC:55707	
HGNC:34	P78363
HGNC:35	Q8WWZ7
HGNC:36	Q8N139
HGNC:37	Q8IZY2
HGNC:38	O94911
HGNC:39	Q8IUA7
HGNC:39983	
HGNC:30	Q8WWZ4
HGNC:31	
HGNC:14637	Q86UK0
HGNC:14638	Q86UQ4
HGNC:34405	
HGNC:32972	
HGNC:40	P08183
HGNC:45	P21439
HGNC:46	Q2M3G0
HGNC:47	Q9NP58
HGNC:48	O75027
HGNC:49	Q9NUT2
HGNC:50	Q9NP78
HGNC:41	Q9NRK6
HGNC:14114	
HGNC:31129	
HGNC:31130	
HGNC:42	O95342
HGNC:51	P33527
HGNC:53	Q92887
HGNC:54	O15438
HGNC:55	O15439
HGNC:56	O15440
HGNC:40055	
HGNC:57	O95255
HGNC:33352	
HGNC:33353	
HGNC:59	Q09428
HGNC:60	O60706
HGNC:52	Q5T3U5
HGNC:14639	Q96J66
HGNC:14640	Q96J65
HGNC:16022	
HGNC:61	P33897
HGNC:62	
HGNC:63	
HGNC:64	
HGNC:65	
HGNC:42662	
HGNC:66	Q9UBJ2
HGNC:67	P28288
HGNC:68	O14678
HGNC:69	P61221
HGNC:58656	
HGNC:58657	
HGNC:58658	
HGNC:70	Q8NE71
HGNC:53628	
HGNC:71	Q9UG63
HGNC:54751	
HGNC:48841	
HGNC:48842	
HGNC:72	Q9NUQ8
HGNC:73	P45844
HGNC:74	Q9UNQ0
HGNC:13884	Q9H172
HGNC:13886	Q9H222
HGNC:13887	Q9H221
HGNC:17553	Q96SE0
HGNC:18717	P08910
HGNC:18718	Q8WU67
HGNC:20154	Q8TB40
HGNC:21396	Q8WTS1
HGNC:21398	Q9BV23
HGNC:23759	Q96I13
HGNC:25656	Q9NUJ1
HGNC:16407	Q8NFV4
HGNC:15868	Q8N2K0
HGNC:19837	Q7Z5M8
HGNC:20293	Q7L211
HGNC:24538	Q9BUJ0
HGNC:38856	
HGNC:28235	Q96IU4
HGNC:26971	Q6UXT9
HGNC:49685	
HGNC:13921	O95870
HGNC:16128	Q9H3Z7
HGNC:58392	
HGNC:28756	Q96GS6
HGNC:28394	
HGNC:34041	
HGNC:34042	
HGNC:34043	
HGNC:34044	
HGNC:38508	
HGNC:38509	
HGNC:38510	
HGNC:24278	Q5VST6
HGNC:26925	Q6PCB6
HGNC:26111	Q0P651
HGNC:11320	Q8IZP0
HGNC:20035	
HGNC:24011	Q9NYB9
HGNC:29859	Q9P2A4
HGNC:17265	Q7Z7G0
HGNC:1364	Q9NX38
HGNC:39851	
HGNC:76	P00519
HGNC:77	P42684
HGNC:78	O14639
HGNC:19195	Q6H8Q1
HGNC:29132	O94929
HGNC:79	P16442
HGNC:81	Q12979
HGNC:55674	
HGNC:30655	Q8N0Z2
HGNC:21230	Q9P1F3
HGNC:25829	Q6UWZ7
HGNC:56461	
HGNC:56462	
HGNC:28975	Q15018
HGNC:17369	Q9ULW3
HGNC:39557	
HGNC:18275	Q969K4
HGNC:23842	Q8N961
HGNC:23844	A6QL63
HGNC:82	P09110
HGNC:83	P42765
HGNC:55880	
HGNC:84	Q13085
HGNC:85	O00763
HGNC:87	Q9UKU7
HGNC:21497	Q9H845
HGNC:56086	
HGNC:21597	Q6JQN1
HGNC:30211	Q709F0
HGNC:88	P28330
HGNC:89	P11310
HGNC:90	P16219
HGNC:91	P45954
HGNC:92	P49748
HGNC:319	P16112
HGNC:16467	Q15027
HGNC:16469	Q15057
HGNC:41426	
HGNC:16754	Q96P50
HGNC:93	P24752
HGNC:94	Q9BWD1
HGNC:15453	Q9H3P7
HGNC:40701	
HGNC:23337	Q8NC06
HGNC:23338	Q5T8D3
HGNC:23339	Q9BR61
HGNC:17715	Q8N6N7
HGNC:58659	
HGNC:23989	Q96QU6
HGNC:34391	Q4AC99
HGNC:56899	
HGNC:25070	Q96AP0
HGNC:2707	P12821
HGNC:13557	Q9BYF1
HGNC:56255	
HGNC:44365	
HGNC:18356	Q8TDN7
HGNC:23675	Q5QJU3
HGNC:54674	
HGNC:16066	Q9NUN7
HGNC:58067	
HGNC:108	P22303
HGNC:17066	Q9UKV3
HGNC:4035	Q16570
HGNC:1565	O00590
HGNC:23692	P25106
HGNC:1611	Q9NPB9
HGNC:21142	
HGNC:13708	O15218
HGNC:115	P53396
HGNC:19288	Q8TDX5
HGNC:34504	
HGNC:117	P21399
HGNC:118	Q99798
HGNC:56989	
HGNC:56990	
HGNC:33904	A6NK06
HGNC:33128	Q86TX2
HGNC:18431	P49753
HGNC:19748	Q8N9L9
HGNC:58578	
HGNC:33159	Q3I5F7
HGNC:24157	O00154
HGNC:15919	O14734
HGNC:17152	Q9Y305
HGNC:18156	Q8WXI4
HGNC:24436	Q8WYK0
HGNC:20999	Q9NPJ3
HGNC:119	Q15067
HGNC:120	Q99424
HGNC:121	O15254
HGNC:25621	Q9NUZ1
HGNC:41112	
HGNC:122	P24666
HGNC:123	P11117
HGNC:125	P15309
HGNC:14376	Q9BZG2
HGNC:124	P13686
HGNC:29609	Q9NPH0
HGNC:33781	Q6ZNF0
HGNC:126	P10323
HGNC:17195	Q8NEB7
HGNC:54745	
HGNC:127	P26436
HGNC:29567	Q96GR2
HGNC:24174	Q5FVE4
HGNC:26101	Q96CM8
HGNC:27288	Q4G176
HGNC:3569	P33121
HGNC:3570	O95573
HGNC:40227	
HGNC:56529	
HGNC:3571	O60488
HGNC:16526	Q9ULC5
HGNC:16496	Q9UKU0
HGNC:40772	
HGNC:18049	Q08AH1
HGNC:32017	Q08AH3
HGNC:30931	Q68CK6
HGNC:10522	Q53FZ2
HGNC:32016	P0C7M7
HGNC:26060	Q6NUN0
HGNC:51295	
HGNC:31665	Q6P461
HGNC:16091	Q9NUB1
HGNC:15814	Q9NR19
HGNC:24723	Q9H6R3
HGNC:58286	
HGNC:129	P68133
HGNC:130	P62736
HGNC:45169	
HGNC:132	P60709
HGNC:17780	Q562R1
HGNC:134	
HGNC:135	
HGNC:136	
HGNC:137	
HGNC:139	
HGNC:140	
HGNC:141	
HGNC:142	
HGNC:31819	
HGNC:33971	
HGNC:150	
HGNC:45086	
HGNC:55065	
HGNC:56590	
HGNC:143	P68032
HGNC:51491	
HGNC:144	P63261
HGNC:146	
HGNC:147	
HGNC:148	
HGNC:149	
HGNC:151	
HGNC:152	
HGNC:153	
HGNC:154	
HGNC:155	
HGNC:37651	
HGNC:44496	
HGNC:49058	
HGNC:49751	
HGNC:51495	
HGNC:51496	
HGNC:51497	
HGNC:51498	
HGNC:51499	
HGNC:51500	
HGNC:51501	
HGNC:51502	
HGNC:51503	
HGNC:49661	
HGNC:54872	
HGNC:145	P63267
HGNC:24124	O96019
HGNC:58683	
HGNC:160	O94805
HGNC:161	Q9Y615
HGNC:162	Q9Y614
HGNC:24018	Q9H568
