,NCBI_ID,gene_symbol,alias_symbol,gene_type,HGNC_ID,ENSG_ID,collision,source
10131,GENE ID:3494,IGHA2,A2M,other,HGNC:5479,ENSG00000211890,A2M,NCBI
42443,GENE ID:54776,PPP1R12C,AAVS1,protein-coding,HGNC:14947,ENSG00000125503,AAVS1,NCBI
19563,GENE ID:6646,SOAT1,ACAT1,protein-coding,HGNC:11177,ENSG00000057252,ACAT1,NCBI
24208,GENE ID:8435,SOAT2,ACAT2,protein-coding,HGNC:11178,ENSG00000167780,ACAT2,NCBI
25948,GENE ID:9034,CCRL2,ACKR5,protein-coding,HGNC:1612,ENSG00000121797,ACKR5,NCBI
13484,GENE ID:4706,NDUFAB1,ACP1,protein-coding,HGNC:7694,ENSG00000004779,ACP1,NCBI
72504,GENE ID:728378,POTEF,ACTB,protein-coding,HGNC:33905,ENSG00000196604,ACTB,NCBI
205,GENE ID:68,ACTBP8,ACTBP2,pseudo,HGNC:141,,ACTBP2,NCBI
241,GENE ID:83,ACTG1P10,ACTP1,pseudo,HGNC:155,,ACTP1,NCBI
20182,GENE ID:6871,TADA2A,ADA2,protein-coding,HGNC:11531,ENSG00000276234,ADA2,NCBI
20165,GENE ID:6868,ADAM17,ADAM18,protein-coding,HGNC:195,ENSG00000151694,ADAM18,NCBI
330,GENE ID:114,ADCY8,ADCY3,protein-coding,HGNC:239,ENSG00000155897,ADCY3,NCBI
362,GENE ID:131,ADH7,ADH4,protein-coding,HGNC:256,ENSG00000196344,ADH4,NCBI
575,GENE ID:203,AK1,ADK,protein-coding,HGNC:361,ENSG00000106992,ADK,NCBI
399,GENE ID:146,ADRA1D,ADRA1A,protein-coding,HGNC:280,ENSG00000171873,ADRA1A,NCBI
22609,GENE ID:7726,TRIM26,AFP,protein-coding,HGNC:12962,ENSG00000234127,AFP,NCBI
240244,GENE ID:139281660,IFT70A-AS1,AGPS,ncRNA,HGNC:58181,,AGPS,NCBI
