name,source_db_name,normalized_gene_id,aliases,normalized_HGNC_ID,normalized_NCBI_ID,rank_match,rank_status,winning_category,winning_HGNC_ID,reason for mismatch,qualifier
HCA1,NCBI,ncbigene:266790,"AH|HCA|Hypercalciuria, absorptive, 1|ncbigene:266790|omim:607258",,266790,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4532'},missing gene record,HCA1 normalizes to a phenotype gene record which is excluded from Gene JAR
ENV,DrugBank,hgnc:39031,ENV_HV1BN|ENV_HV1Y2|ENV_SIVMK|M21098|UNIPROT:P05884|UNIPROT:P12488|UNIPROT:P35961,39031,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:53424'},correct concept relationship is undefined,ENV to ERVK-20 is undefined
ACT,NCBI,ncbigene:389036,ncbigene:389036,,389036,FALSE,ID mismatch,Gene Group Symbol,{'HGNC:17780'},missing gene record,ACT normalizes to a gene record that is inactive which is excluded from Gene JAR
MST,DrugBank,hgnc:29678,AJ313201|Q7K9G0_LEIMA|UNIPROT:Q7K9G0,29678,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:7223'},correct concept relationship is undefined,MST to MSTO1 is undefined
GL,ChEMBL,hgnc:14942,CHEMBL:CHEMBL2364696|ENVELOPE GLYCOPROTEIN L|UNIPROT:P10185,14942,,FALSE,ID mismatch,Ortholog Symbol,{'HGNC:21652'},correct concept relationship is undefined,GL to PPP1R3B is undefined
MOP,DrugBank,hgnc:14449,GENBANK:853817|MOP_DESGI|UNIPROT:Q46509|X77222,14449,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:8156'},correct concept relationship is undefined,MOP  to OPN4 is undefined
ALR,ChEMBL,hgnc:380,ALANINE RACEMASE|CHEMBL:CHEMBL2031|UNIPROT:P9WQA9,380,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4236'},correct concept relationship is undefined,ALR  to AKR1A1 is undefined
CAMK,DrugBank,hgnc:1464,AF323755|CAMK_RHOSO|UNIPROT:Q93TU6,1464,,FALSE,ID mismatch,Gene Group Symbol,{'HGNC:1463'},same relationship tie,"CAMK normalizes to CAMK4 but both CAMK4 and CAMK2G are related to CAMK as a gene group symbol. No other relationships present, no way to prioritize"
PARC,DrugBank,hgnc:10616,GENBANK:147106|GENBANK:1490399|GENBANK:1574370|L42023|M58408|PARC_ECOLI|PARC_HAEIN|PARC_STAAU|PARC_STRPN|UNIPROT:P0AFI2|UNIPROT:P0C1U9|UNIPROT:P43702|UNIPROT:P72525|Z67739,10616,,FALSE,ID mismatch,Withdrawn Ortholog Symbol,{'HGNC:15982'},correct concept relationship is undefined,PARC  to CCL18 is undefined
TGT,DrugBank,hgnc:12612,GENBANK:498141|L33777|TGT_ZYMMO|UNIPROT:P28720,12612,,FALSE,ID mismatch,Ortholog Symbol,{'HGNC:23797'},correct concept relationship is undefined,TGT  to USP14 is undefined
PARC,ChEMBL,hgnc:10616,CHEMBL:CHEMBL2363033|CHEMBL:CHEMBL2363076|CHEMBL:CHEMBL2363077|CHEMBL:CHEMBL3038508|CHEMBL:CHEMBL3390827|CHEMBL:CHEMBL3991503|DNA TOPOISOMERASE 4 SUBUNIT A|UNIPROT:P0AFI2|UNIPROT:P0C1U9|UNIPROT:P0DG06|UNIPROT:P48374|UNIPROT:P72525|UNIPROT:Q9HUK1,10616,,FALSE,ID mismatch,Withdrawn Ortholog Symbol,{'HGNC:15982'},correct concept relationship is undefined,PARC  to CCL18 is undefined
P2,DrugBank,hgnc:10377,GENBANK:215481|M17461|RDRP_BPPH6|UNIPROT:P11124,10377,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:9117'},same relationship tie,"P2 normalizes to RPLP2 but both RPLP2 and PMP2 are related to P2 as a alternate abbreviation symbol. No other relationships present, no way to prioritize"
ALR,DrugBank,hgnc:380,AF214487|ALR_GEOSE|ALR_MYCAV|GENBANK:142467|GENBANK:6708455|M19142|UNIPROT:P10724|UNIPROT:Q9L888,380,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4236'},correct concept relationship is undefined,ALR  to AKR1A1 is undefined
GST,DrugBank,hgnc:23613,AF426836|GST_PLAFA|UNIPROT:Q8ILQ7,23613,,FALSE,ID mismatch,Gene Group Symbol,{'HGNC:16906'},correct concept relationship is undefined,GST  to SLCO6A1 is undefined
GLK,DrugBank,hgnc:6865,GLK_ECOLI|U22490|UNIPROT:P0A6V8,6865,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4195'},correct concept relationship is undefined,GLK  to MAP4K3 is undefined
PCP,DrugBank,hgnc:13568,D37970|GENBANK:688417|PICP_PSESR|UNIPROT:P42790,13568,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:9344'},correct concept relationship is undefined,PCP  to PGPEP1 is undefined
PAR1,dGene,hgnc:30089,D15S227E|NCBIGENE:145624,30089,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:3537'},same relationship tie,"PAR1 normalizes to PWAR1 but both PWAR1 and F2R are related to PAR1 as a alternate abbreviation symbol. No other relationships present, no way to prioritize"
PAR4,dGene,hgnc:29998,NCBIGENE:347745,29998,,FALSE,ID mismatch,Previous Symbol,{'HGNC:3540'},wrong category prioritized,"PAR4 normalizes to PWAR4 related as a alternate abbreviation symbol, previous symbol F2RL3 is prioritized"
HCA1,dGene,ncbigene:266790,AH|HCA|NCBIGENE:266790,,266790,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:4532'},missing gene record,HCA1 normalizes to a phenotype gene record which is excluded from Gene JAR
CRT,DrugBank,hgnc:11055,CRT_PLAFA|UNIPROT:Q9N623,11055,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:1440'},correct concept relationship is undefined,CRT  to SLC6A8 is undefined
ENV,ChEMBL,hgnc:39031,CHEMBL:CHEMBL1293311|CHEMBL:CHEMBL2362987|CHEMBL:CHEMBL3520|CHEMBL:CHEMBL3559676|CHEMBL:CHEMBL4105927|ENV POLYPROTEIN|ENVELOPE GLYCOPROTEIN GP160|ENVELOPE PROTEIN|UNIPROT:O40239|UNIPROT:P04578|UNIPROT:Q6QLK5|UNIPROT:Q76270|UNIPROT:Q78116,39031,,FALSE,ID mismatch,Alternate Abbreviation Symbol,{'HGNC:53424'},correct concept relationship is undefined,ENV to ERVK-20 is undefined
