NCBI_ID,primary_gene_symbol,collision,gene_type,HGNC_ID,ENSG_ID,source
GENE ID:657,BMPR1A,10q23del,protein-coding,HGNC:1076,ENSG00000107779,NCBI
GENE ID:5728,PTEN,10q23del,protein-coding,HGNC:9588,ENSG00000171862,NCBI
GENE ID:239,ALOX12,12-LOX,protein-coding,HGNC:429,ENSG00000108839,NCBI
GENE ID:246,ALOX15,12-LOX,protein-coding,HGNC:433,ENSG00000161905,NCBI
GENE ID:1645,AKR1C1,20-ALPHA-HSD,protein-coding,HGNC:384,ENSG00000187134,NCBI
GENE ID:3292,HSD17B1,20-alpha-HSD,protein-coding,HGNC:5210,ENSG00000108786,NCBI
GENE ID:292,SLC25A5,2F1,protein-coding,HGNC:10991,ENSG00000005022,NCBI
GENE ID:10219,KLRG1,2F1,protein-coding,HGNC:6380,ENSG00000139187,NCBI
GENE ID:1109,AKR1C4,3-alpha-HSD,protein-coding,HGNC:387,ENSG00000198610,NCBI
GENE ID:10170,DHRS9,3-alpha-HSD,protein-coding,HGNC:16888,ENSG00000073737,NCBI
GENE ID:6444,SGCD,35DAG,protein-coding,HGNC:10807,ENSG00000170624,NCBI
GENE ID:6445,SGCG,35DAG,protein-coding,HGNC:10809,ENSG00000102683,NCBI
GENE ID:3921,RPSA,37LRP,protein-coding,HGNC:6502,ENSG00000168028,NCBI
GENE ID:388524,RPSA2,37LRP,protein-coding,HGNC:36809,ENSG00000288920,NCBI
GENE ID:6349,CCL3L1,464.2,protein-coding,HGNC:10628,,NCBI
GENE ID:414062,CCL3L3,464.2,protein-coding,HGNC:30554,ENSG00000276085,NCBI
GENE ID:3632,INPP5A,5PTASE,protein-coding,HGNC:6076,ENSG00000068383,NCBI
GENE ID:3633,INPP5B,5PTase,protein-coding,HGNC:6077,ENSG00000204084,NCBI
GENE ID:6280,S100A9,60B8AG,protein-coding,HGNC:10499,ENSG00000163220,NCBI
GENE ID:6279,S100A8,60B8AG,protein-coding,HGNC:10498,ENSG00000143546,NCBI
GENE ID:440345,NPIPB4,61E3.4,protein-coding,HGNC:41985,ENSG00000185864,NCBI
GENE ID:23049,SMG1,61E3.4,protein-coding,HGNC:30045,ENSG00000157106,NCBI
GENE ID:388524,RPSA2,67LR,protein-coding,HGNC:36809,ENSG00000288920,NCBI
GENE ID:3921,RPSA,67LR,protein-coding,HGNC:6502,ENSG00000168028,NCBI
GENE ID:6071,RNU6V,87U6,pseudo,HGNC:10230,,NCBI
GENE ID:2773,GNAI3,87U6,protein-coding,HGNC:4387,ENSG00000065135,NCBI
GENE ID:6432,SRSF7,9G8,protein-coding,HGNC:10789,ENSG00000115875,NCBI
GENE ID:10569,SLU7,9G8,protein-coding,HGNC:16939,ENSG00000164609,NCBI
GENE ID:5984,RFC4,A1,protein-coding,HGNC:9972,ENSG00000163918,NCBI
GENE ID:28881,IGKV2D-30,A1,other,HGNC:5801,ENSG00000239571,NCBI
GENE ID:5981,RFC1,A1,protein-coding,HGNC:9969,ENSG00000035928,NCBI
GENE ID:28934,IGKV1-32,A15,pseudo,HGNC:5736,,NCBI
GENE ID:7102,TSPAN7,A15,protein-coding,HGNC:11854,ENSG00000156298,NCBI
GENE ID:6641,SNTB1,A1B,protein-coding,HGNC:11168,ENSG00000172164,NCBI
GENE ID:1,A1BG,A1B,protein-coding,HGNC:5,ENSG00000121410,NCBI
GENE ID:23545,ATP6V0A2,A2,protein-coding,HGNC:18481,ENSG00000185344,NCBI
GENE ID:170589,GPHA2,A2,protein-coding,HGNC:18054,ENSG00000149735,NCBI
GENE ID:7128,TNFAIP3,A20,protein-coding,HGNC:11896,ENSG00000118503,NCBI
GENE ID:28935,IGKV1-27,A20,other,HGNC:5735,ENSG00000244575,NCBI
GENE ID:28883,IGKV2D-28,A3,other,HGNC:5799,ENSG00000242534,NCBI
GENE ID:200315,APOBEC3A,A3A,protein-coding,HGNC:17343,ENSG00000128383,NCBI
GENE ID:100913187,APOBEC3A_B,A3A,protein-coding,HGNC:44196,,NCBI
