Gene name,Barramundi perch gene name,Beluga whale gene name,Bicolor damselfish gene name,Black snub-nosed monkey gene name,Blue whale gene name
MT-TF,,,,,
MT-RNR1,,,,,
MT-TV,,,,,
MT-RNR2,,,,,
MT-TL1,,,,,
MT-ND1,,,,ND1,
MT-ND1,,ND1,,ND1,
MT-TI,,,,,
MT-TQ,,,,,
MT-TM,,,,MT-TM,
MT-ND2,,ND2,,ND2,
MT-TW,,,,,
MT-TA,,,,,
MT-TN,,,,,
MT-TC,,,,,
MT-TY,,,,,
MT-CO1,,COX1,,COX1,
MT-TS1,,,,,
MT-TD,,,,,
MT-CO2,,COX2,,COX2,
MT-TK,,,,,
MT-ATP8,,,,,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,,,ATP6,
MT-ATP6,,ATP6,,ATP6,
MT-ATP6,,ATP6,,ATP6,
MT-ATP6,,ATP6,,ATP6,
MT-ATP6,,ATP6,,ATP6,
MT-ATP6,,ATP6,,ATP6,
MT-CO3,,COX3,,COX3,
MT-TG,,,,,
MT-ND3,,ND3,,ND3,
MT-TR,,,,,
MT-ND4L,,,,,
MT-ND4L,,,,,
MT-ND4L,,ND4L,,,
MT-ND4L,,ND4L,,,
MT-ND4L,,,,,
MT-ND4L,,,,,
MT-ND4L,,,,ND4L,
MT-ND4L,,,,ND4L,
MT-ND4L,,ND4L,,ND4L,
MT-ND4L,,ND4L,,ND4L,
MT-ND4L,,,,ND4L,
MT-ND4L,,,,ND4L,
MT-ND4,,ND4,,ND4,
MT-TH,,,,,
MT-TS2,,,,,
MT-TL2,,,,,
MT-ND5,,ND5,,ND5,
MT-ND6,,ND6,,ND6,
MT-TE,,,,,
MT-CYB,,CYTB,,CYTB,
MT-TT,,,,,
MT-TP,,,,,
,,,,,
,,,,,
U6,,,,,
5S_rRNA,,,,,
,,,,,
Y_RNA,,,,,
,,,,,
,,,,,
,frg1,,frg1,,
,frg1,,frg1,,
,,,,,
U2,,U2,,,
,,,,,
,,,,,
RNA5-8SN5,,,,,
5_8S_rRNA,,,,5_8S_rRNA,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MAFIP,tekt4,,,,
MAFIP,tekt4,,,,
MAFIP,tekt4,,,,
MAFIP,tekt4,,tekt4,,
MAFIP,tekt4,,tekt4,,
MAFIP,tekt4,,tekt4,,
5_8S_rRNA,,,,,
,,,,,
,mrpl23,,mrpl23,,
,mrpl23,,mrpl23,,
,,,,,
U6,,,,,
Y_RNA,,,,,
,dgcr6,DGCR6L,dgcr6,,
U2,,U2,,,
,,,,,
,,,,,
,,,,,
,,,,,
RNA5-8SN4,,,,,
5_8S_rRNA,,,,,
,,,,,
,,,,,
,,,,,
U1,,,,,
RPL23AP45,,,,,
,,,,,
,,,,,
U1,,,,,
U6,,U6,,,U6
,,,,,
,,,,,
,,,,,
U1,,U1,,,U1
U1,,U1,,,U1
,,,,,
,,,,,
,,,,,
U6,,,,,
Y_RNA,,,,,
RNU6-409P,,,,,
ACR,,,,,
,,,,,
,,,,,
SHANK3,,,,,
,,,,,
,slc6a8,,slc6a8,,
,slc6a8,,slc6a8,,
,slc6a8,,slc6a8,,
,slc6a8,,slc6a8,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MIR4740,,,,,
MIR3186,,,,,
,,,,,
LINC01971,,,,,
,,,,,
ACTG1,,,,,
,,,,,
HMX1,,,,,
,,,,,
BAHCC1,,,,,
,,,,,
,,,,,
,,,,,
LINC03048,,,,,
,,,,,
,,,,,
,,,,,
LINC03015,,,,,
LINC03014,,,,,
,,,,,
,,,,,
,,,,,
FAM20C,,,,,
,,,,,
,,,,,
NAA50P1,,,,,
OR8J2,,,,,
OR5T2,,,,,
OR5T3,,,,,
OR5T1,,,,,
OR8H1,,,,,
OR8I1P,,,,,
OR8K3,,,,,
FAM8A2P,,,,,
OR8K2P,,,,,
OR8K1,,,,,
RPL5P29,,,,,
OR8J1,,,,,
OR8U8,,,,,
OR8U9,,,,,
OR8L1P,,,,,
GCGR,,,,,
MCRIP1,,,,,
,,,,,
U6,,,,,
ABCD1P4,,,,,
,,,,,
PABPC1P9,,,,,
SLC9B1P4,,,,,
ACTR3BP6,,,,,
PPP1R27,,,,,
LINC01784,,,,,
PRAMEF11,,,,,
PRAMEF30P,,,,,
HNRNPCL1,,,,,
PRAMEF2,,,,,
PRAMEF4,,,,,
PRAMEF10,,,,,
PRAMEF7,,,,,
RNU6-1072P,,,,,
