Ambiguous Symbol,# of Queries
KRAS,148
MAP2,53
DSP,51
LRP1,49
MAP1A,46
PMP22,44
CPA3,39
CCNL1,38
PLAC8,38
C1QTNF5,37
MDK,35
GAL,35
SPP1,34
CPS1,32
CT45A5,31
HDC,31
CLC,31
RBP1,30
DLC1,30
GBF1,30
F3,29
CPD,29
DSC3,29
TNRC18,29
PGD,29
JUNB,28
HTT,28
PLD1,28
CAP1,28
PCM1,28
SGK2,27
SMAP1,27
CYP2D6,27
SERPINA11,26
S100A14,26
CAT,26
MED1,26
SPP2,26
S100A16,26
SLC23A2,26
TTF2,26
LMO4,26
FXYD6,26
LILRA6,26
LGALS7,25
LY6G6D,25
SPN,25
CAP2,25
LGALS9B,25
CKB,25
FAM25A,25
TP53TG3B,25
CERS1,25
CST6,25
A2M,25
DEFB134,25
BEX1,24
SFN,24
ZC3H18,24
SPEN,23
MBD1,23
DMTN,23
RLF,23
DSC1,23
FLG,23
NBL1,23
SCAF1,23
NOS3,23
DUSP1,22
ELN,22
LCP1,22
GCKR,22
FCGR3A,21
SCG2,21
GIP,21
AQP1,20
LOR,20
LAMB2,20
MEIS3,20
MLC1,20
MPDZ,19
NRP1,18
ARG1,18
TF,17
TMSB15A,17
LAT2,17
MYO1C,17
PRPH,17
GPI,17
NPIPA8,16
NTN4,16
HLA-DQB1,16
ADAM23,16
ELF1,15
FHL1,15
TNC,15
CDH1,15
ANXA8,15
BCAM,15
MAL,15
WBP1,14
TRAF2,14
FAP,14
CD34,14
GRIK2,14
NLK,14
RGL1,13
POLQ,13
SLIT3,13
APOA2,13
OR11H12,13
PHF2,13
NRP2,13
XG,13
HLA-DPB1,13
LST1,13
SIK1,12
NAA38,12
CAST,12
ACAT1,12
GLS,12
GAB1,12
CFL1,12
BDP1,12
EAF1,12
CD14,12
AK6,12
PILRB,11
POLK,11
GRIP1,11
ZNF225,11
HES1,11
ACTB,11
CHD2,11
FH,11
NPR2,11
SPATA8,11
ATP1A1,11
MSC,11
FGF2,11
SAT2,11
HS3ST5,11
CREB3,11
UBC,10
AGT,10
MEF2B,10
PAN2,10
CHMP3,10
BRF2,10
CCZ1,10
COX11,10
ARL17A,10
OR2A7,10
MBP,10
CHL1,10
CRIP1,10
PRPS1,10
FEZ1,10
CNR2,10
FMO2,10
ME1,10
ALDOA,10
DLG2,10
ECD,10
RAB4B,10
NCAM2,10
TMSB15B,10
GBA,10
BAP1,10
HEBP1,10
TRAP1,10
CLK1,10
RAD54L,10
GOLGA5,9
PRH2,9
MGA,9
