,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
8000,ENSG00000140379,BCL2A1,991,597, ACC1
58193,ENSG00000275176,ACACA,84,31, ACC1
1354,ENSG00000076555,ACACB,85,32, ACC2
8000,ENSG00000140379,BCL2A1,991,597, ACC2
2085,ENSG00000097021,ACOT7,24157,11332, ACT
17165,ENSG00000196136,SERPINA3,16,12, ACT
7759,ENSG00000138678,GPAT3,28157,84803, AGPAT9
9721,ENSG00000153395,LPCAT1,25718,79888, AGPAT9
16606,ENSG00000187391,MAGI2,18957,9863, AIP1
7388,ENSG00000136848,DAB2IP,17294,153090, AIP1
10685,ENSG00000161513,FDXR,3642,2232, AR
1672,ENSG00000085662,AKR1B1,381,231, AR
5387,ENSG00000123165,ACTRT1,24027,139741, ARIP1
16606,ENSG00000187391,MAGI2,18957,9863, ARIP1
5626,ENSG00000124812,CRISP1,304,167, ARP
8710,ENSG00000145050,MANF,15461,7873, ARP
8303,ENSG00000142599,RERE,9965,473, ARP
2494,ENSG00000101246,ARFRP1,662,10139, ARP
5602,ENSG00000124701,APOBEC2,605,10930, ARP1
2494,ENSG00000101246,ARFRP1,662,10139, ARP1
4576,ENSG00000116194,ANGPTL1,489,9068, ARP1
6384,ENSG00000130812,ANGPTL6,23140,83854, ARP5
40834,ENSG00000244509,APOBEC3C,17353,27350, ARP5
778,ENSG00000057663,ATG5,589,9474, ASP
9173,ENSG00000148584,A1CF,24086,29974, ASP
3536,ENSG00000108381,ASPA,756,443, ASP
2543,ENSG00000101440,ASIP,745,434, ASP
12672,ENSG00000169359,SLC33A1,95,9197, AT1
8692,ENSG00000144891,AGTR1,336,185, AT1
9864,ENSG00000154723,ATP5PF,847,522, ATPM
9576,ENSG00000152234,ATP5F1A,823,498, ATPM
12439,ENSG00000168397,ATG4B,20790,23192, AUTL1
5728,ENSG00000125703,ATG4C,16040,84938, AUTL1
13843,ENSG00000174684,B4GAT1,15685,11041, B3GNT1
12889,ENSG00000170340,B3GNT2,15629,10678, B3GNT1
5204,ENSG00000121481,RNF2,10061,6045, BAP1
9445,ENSG00000151276,MAGI1,946,9223, BAP1
23387,ENSG00000211689,TRGC1,12275,445347, C1
2458,ENSG00000101132,PFDN4,8868,5203, C1
16898,ENSG00000188554,NBR1,6746,4077, CA125
15131,ENSG00000181143,MUC16,15582,94025, CA125
10404,ENSG00000159259,CHAF1B,1911,8208, CAF1
